title,abrev
demografia,demog.
demografia,demogr.
demonstrativo,demonstr.
densidade,dens.
departamento,dep.
departamento,depto.
departamento,dpto.
depreciativamente,depr.
depreciativo,depr.
depreciativo,deprec.
departamentos,deps.
derivação,der.
derivado(s),der.
derivação,deriv.
derivado(s),deriv.
dermatologia,derm.
desenho,des.
destilar,des.
desusado,des.
Desembargador,Des.dor
Desembargador,Des.or
desconto,desc.
desembargador,Desemb.
desembargador,desemb.
desembocadura,desemb.
desembocadura,desemboc.
desenho,desen.
desinência,desin.
despesa,desp.
desporto(s),desp.
desporto(s),despor.
desusado,desus.
detalhe,det.
determinativo,det.
determinativo,determ.
deverbal,dev.
devotado,dev.º
dezembro,dez.
dezembro,dez.º
decigrama(s),dg
decigrama-força,dg
decigrama-força,dg*
decigrama-força,dgf
decígrado(s),dgr
dioptria,di
diácono,diác.
dialetal,dial.
dialeto,dial.
dialetal,dialet.
dialética,dialét.
dicionário,dic.
didática,did.
didático,did.
didática,didát.
dietética,diet.
dietético,diet.
diferente,dif.
Digníssimo,Dig.mo
"diminuendo, a diminuir",dim.
diminutivo,dim.
"diminnendo, diminuindo",dimin.
diminutivo,dimin.
dinamarquês,din.
dinâmica,din.
dinamarquês,dinam.
dinâmica,dinâm.
dinâmico,dinâm.
diocese,dioc.
diploma,dipl.
diplomacia,dipl.
diplomática,diplom.
direito administrativo,dir. adm.
direito antigo,dir. ant.
direito canônico,dir. can.
direito civil,dir. civ.
direito comercial,dir. com.
direito comercial,dir. comerc.
direito consuetudinário,dir. cons.
direito constitucional,dir. const.
direito consuetudinário,dir. consuet.
direito corporativo,dir. corp.
direito criminal,dir. crim.
direita,dir.
direito,dir.
direito eclesiástico,dir. ecl.
direito eclesiástico,dir. ecles.
direito de família,dir. fam.
direito feudal,dir. feud.
direito fiscal,dir. fis.
direito internacional,dir. int.
direito internacional,dir. intern.
direito marítimo,dir. mar.
direito marítimo,dir. marít.
direito parlamentar,dir. parl.
direito penal,dir. pen.
direito político,dir. pol.
direito processual,dir. proc.
direito público,dir. públ.
direito romano,dir. rom.
direito rural,dir. rur.
"direito do trabalho, direito trabalhista",dir. trab.
discurso,disc.
disfemismo,disfem.
dissertação,diss.
documentos,docs.
documentação,docum.
dogmática,dog.
dogmático,dog.
dogmática,dogm.
dogmatismo,dogm.
dogmática,dogmát.
dólar(es),dól.
doméstico,dom.
dominicano,dom.
domínico,dom.
dominicano,domin.
domínico,domín.
dórico,dór.
doutor,Dr.
dinheiro (comercialmente),dr.o
doutora,Dr.a
doutoras,Dr.as
doutora,Dra.
doutora,Dr.ª
dramático,dram.
dravídico,drav.
doutores,Drs.
decistéreo(s),dst
doença sexualmente transmissível,DST
dualismo,dual.
dualidade,dualid.
dureza,dur.
duriense,dur.
"digital versatile disk, disco versátil digital",DVD
"dysproposium, dispropósio",Dy
dina(s),dyn
dúzia(s),dz.
editor,E.
equação do tempo,E.
equivalente eletroquímico,E.
esquerda (marcação teatral),E.
esquerdo (andar),E.
Estado,E.
Estado,e.
Este,E.
esquerda alta (marcação teatral),E.A.
esquerda baixa (marcação teatral),E.B.
estibordo,E.B.
era cristã,E.C.
era comum (com ou sem pontos — ver A.E.C.),E.C.
"era comum (preferencialmente em versalete, com ou sem pontos — ver a.e.c.)",e.c.
é cópia fiel,e.c.f.
espera deferimento,E.D.
enviado extraordinário e ministro plenipotenciário,E.E.M.P.
embaixador extraordinário e plenipotenciário,E.E.P.
estrada de ferro,e.f.
"exempli gratia, por exemplo",e.g.
"em mão, em mãos",E.M.
Estado-Maior,E.-M.
Estado-Maior,e.-m.
"em mão própria, em mãos próprias",E.M.P.
És-Nordeste,E.N.E.
espera resposta,E.R.
espera receber mercê,E.R.M.
És-Sudeste,E.S.E.
erg(s) por segundo,e/s.
era comum (com ou sem pontos — ver AEC),EC
"era comum (preferencialmente em versalete, com ou sem pontos — ver aec)",ec
ecdótica,ecd.
eclesiástico (termo),ecl.
eclético,ecl.
écloga(s),écl.
eclesiástico,ecles.
ecologia,ecol.
economia doméstica,econ. dom.
economia / economista,econ.
"economia de empresa, economia empresarial",econ. emp.
"economia de exploração, economia extrativa",econ. ext.
economia financeira,econ. fin.
economia florestal,econ. fl.
economia política,econ. pol.
economia rural,econ. rur.
edição,ed.
"edidit, editou",ed.
edifício,ed.
editado,ed.
educação,ed.
"ediderunt, editaram",edd.
edifício,edif.
educação,educ.
educação física,educ. fís.
educação nacional,educ. nac.
editores,EE.
Estados,EE.
efeméride,efem.
egípcio,egíp.
elemento adjetivo,el. adj.
elemento adjuntivo,el. adj.
elemento adverbial,el. adv.
elemento antroponímico,el. antr.
elemento antroponímico,el. antropon.
elemento articular,el. art.
elemento de composição,el. comp.
elemento nominal,el. nom.
elemento nominal feminino,el. nom.f.
elemento nominal feminino plural,el. nom.f.pl.
elemento nominal masculino,el. nom.m.
elemento nominal masculino plural,el. nom.m.pl.
elemento participial,el. part.
elemento participial,el. partic.
elemento protético,el. prot.
elemento protético,el. protét.
elemento substantivo,el. subst.
elemento toponímico,el. top.
elemento toponímico,el. topon.
elemento substantivo,el.s.
elemento substantivo feminino,el.s.f.
elemento substantivo feminino plural,el.s.f.pl.
elemento substantivo masculino,el.s.m.
elemento substantivo masculino plural,el.s.m.pl.
elemento,elem.
eletricidade,eletr.
eletricista,eletr.
eletrodinâmica,eletrodin.
eletrologia,eletrol.
eletrometria,eletrom.
eletrônica,eletrôn.
eletroterapia,eletrot.
elipticamente,elipt.
elíptico,elipt.
Eminência,Em.ª
Eminentíssimo,Em.mo
Eminentíssimo,Em.mº
Embaixador,Emb.
Embaixador,emb.
embalagem,emb.
embrulho,emb.
Embaixador,Emb.or
"embalagem, acondicionamento",embal.
embriologia,embr.
embriologia,embriol.
emigração,emigr.
emolumento(s),emol.
empresa,emp.
empreendimentos,Empreend.
empírico,empír.
empresa (organização da),empr.
empréstimo (que se toma),emprés.
encadernação,enc.
encadernado(s),enc.
encíclica,enc.
encíclica,encícl.
enciclopédia,encicl.
enciclopédico (desenvolvimento),encicl.
enciclopedismo,encicl.
endereço telegráfico,End. tel.
endocrinologia,endoc.
És-Nordeste,ENE
energia,energ.
energética,energét.
enfermagem,Enf.
enfermeiro(a),enf.
engenharia,eng.
engenheiro,Eng.º
engenheira,Eng.ª
engenharia civil,eng. civ.
engenharia elétrica,eng. elétr.
engenharia eletrônica,eng. eletrôn.
engenharia hidráulica,eng. hidr.
engenharia industrial,eng. ind.
engenharia nuclear,eng. nucl.
enologia,enol.
ensino,ens.
entomologia,ent.
entomologia,entom.
entomologia,entomol.
enxadrismo,enx.
epigrafia,epig.
epigrafia,epigr.
epístola(s),epíst.
equipamento doméstico,eq. dom.
equação,Eq.
equatoriano,eq.
equatoriano,equat.
equitação,equit.
equivalente(s),equiv.
érbio,Er
erg(s) por segundo,erg/s
ergologia,ergol.
erudito,erud.
,Es einstêinio
escadas (toponimicamente),Esc.
escadinhas (toponimicamente),Esc.
escocês,esc.
escola,Esc.
escrópulo(s),esc.
escudo(s),esc.
escandinavo,escand.
escocês,escoc.
escolar,escol.
escolástica,escol.
escolástico,escol.
escolástica,escolást.
escrito,escr.
escritor,escr.
escultura,escul.
escultura,escult.
És-Sudeste,ESE
esgrima,esgr.
eslavo,esl.
eslavônico,esl.
eslavo,eslav.
eslovaco,eslov.
esloveno,eslov.
esoterismo,esot.
espanhol,esp.
especial,esp.
espécie,esp.
espiritismo,esp.
especial,espec.
especialmente,especialm.
especificação,especif.
específico,específ.
espectroscopia,espect.
espectrografia,espectrogr.
espeleologia,espel.
espeleologia,espeleol.
espetáculo(s),espet.
espiritismo,espir.
espiritualismo,espir.
espiritismo,espirit.
espiritualismo,espiritual.
esporte(s),esport.
esquerdo(a),esq.
estação,est.
estado(s),est.
estância(s) (de poema),est.
estante(s),est.
estética,est.
estrada (toponimicamente),Est.
estrofe(s),est.
estadismo,estad.
estadista,estad.
estatística,estat.
estatística,estatíst.
estenografia,estenog.
estenografia,estenogr.
estereografia,estereogr.
estética,estét.
estético,estét.
estilística,estil.
estimativa de,estim.
estoniano,eston.
estrada,estr.
estratigrafia,estr.
estrangeiro,estrang.
estrangeirismo,estrangeir.
estratégia,estrat.
estratégia,estratég.
estremenho,estrem.
estrutura,estrut.
estudante,estud.
"et alibi, e em outro lugar",et al.
"et alii, et aliae, et alia, e outros, e outras, e outros (neutro)",et al.
"et caterua, et caterva, e a turba",et cat.
"et sequens, e o seguinte",et seq.
"et sequentes, et sequentia, e os seguintes (masculino ou feminino), e os seguintes (neutro)",et seqq.
ética,et.
etíope,et.
etiópico,et.
etnônimo masculino plural,et.m.pl.
"et cetera, etcétera",etc.
etimologia,etim.
etimologia popular,etim. pop.
etimologia,etimol.
etiópico,etióp.
étnico,étn.
etnônimo,etn.
etnografia brasileira,etnog. bras.
etnografia,etnog.
etnografia,etnogr.
etnologia brasileira,etnol. bras.
etnologia,etnol.
etnologia,etnolog.
etologia,etol.
európio,Eu
eufemismo,euf.
eufonia,euf.
eufêmico,eufêm.
eufemismo,eufem.
eufonia,eufon.
eufônico,eufôn.
euforia,eufor.
europeu,eur.
"""Eu Sou""",Eu'ou
"""Eu Quero""",Eu'ro
exemplar(es),ex.
"exemplum (exempli), exemplo(s) (ver exx.), por exemplo (ver e.g.), em exemplo",ex.
exército,ex.
"exeunt, (ao) fim (antes de datas ou períodos explícitos — ver in.)",ex.
Excelência,Ex.ª
Excelentíssima,Ex.
Excelentíssimo,Ex.
exclamação,excl.
exclamativo,excl.
exclamação,exclam.
exclamativo,exclam.
exclamativo,exclamat.
excursionismo,excurs.
exército,exe.
exército,exérc.
experiência,exp.
experimental,exp.
expressão,exp.
experiência,exper.
experimental,exper.
experimental,experim.
explosivo,expl.
expletivo,explet.
exploração,explor.
explosivo(s),explos.
exportação,export.
expressão,expr.
expressivo,expr.
expressivo,express.
expressionismo,expression.
extensão,ext.
extensivo,ext.
extrato,ext.
extensivo,extens.
extrativo,extrat.
"exempli, exemplos",exx.
farad(s),F
flúor,F
fot(s),f
feminino,f.
folha,f.
fólio,f.
forma(s),f.
formação,f.
forte,f.
frase,f.
frente (marcação teatral),F.
fulano,F.
fundo (marcação teatral),F.
forma adverbial,f.adv.
forma aportuguesada,f.aport.
"fidei defensor, defensor da fé",F.D.
força eletromotriz,F.E.M.
força magnetomotriz,F.M.M.
forma nominal,f.nom.
Filho (comercialmente),F.º
Fólio,f.º
"free on board, livre a bordo",F.O.B.
"Folio recto, na frente do fólio",f.ºr.º
fólios,f.os
"folio verso, no verso do fólio",f.ºv.o
forma paralela,f.paral.
forma paralela,f.parl.
forma portuguesa,f.port.
"folio recto, fólio reto",f.r.
forma reduzida,f.red.
"ou fiat secundum artem, faz ou faça-se segundo a arte",F.S.A. fac.
folio verso,f.v.
forma verbal,f.verb.
fábrica,fáb.
faculdade,fac.
falcoaria,falc.
falcoaria,falcoar.
familiar,fam.
farmacêutico,farm.
farmácia,farm.
farmacologia,farmac.
farmacopéia,farmac.
farmacologia,farmacol.
farmacopéia,farmacop.
fascículo(s),fasc.
fascículos,fascs.
fauvismo,fauv.
ferro,Fe
federação,fed.
federal,fed.
federação,feder.
feitiçaria,feit.
feminino,fem.
feminismo,fem.
fenício,fen.
fenomenalismo,fenom.
fenômeno,fenôm.
ferrovia,fer.
ferradoria,ferrad.
"vias férreas, ferrovias",ferrov.
feudal,feud.
feudalidade,feud.
feudalismo,feud.
fevereiro,fev.
Fevereiro,fev.º
fortissimo (música),FF
"fortissimo, fortíssimo (música)",ff
folhas,ff.
fólios,ff.
figura,fg.
frigoria(s),fg.
figura,fig.
figuradamente,fig.
figurado,fig.
figurado,figd.
figurado,figur.
figurativismo,figurat.
figurativo,figurat.
figurativismo,figurativ.
filologia,fil.
filosofia,fil.
filtrar,fil.
filatelia,filat.
filologia,filol.
filosofia,filos.
final,fin.
finança(s),fin.
finança(s) pública(s),fin. públ.
finlandês,finl.
física atômica,fís. atôm.
física,fís.
física matemática,fís. mat.
física médica,fís. méd.
física nuclear,fís. nucl.
fisiologia vegetal,fis. veg.
físico-química,fís.-quím.
fiscal,fisc.
fiscalidade,fisc.
fisiocracia,fisioc.
fisiocratismo,fisioc.
fisiocracia,fisiocr.
fisiocratismo,fisiocrat.
fisiologia,fisiol.
fisiologia vegetal,fisiol. veg.
fisiologia,fisl.
fisiopatologia,fispat.
fitogeografia,fitog.
fitografia,fitog.
fitografia,fitogr.
fitologia,fitol.
fitopatologia,fitopat.
fitossociologia,fitossoc.
fluid dram(s),fl. dr.
"fluid dram, dracma fluida",fl. dram.
flexão (verbal),fl.
flora,Fl.
florestal,fl.
"florim, florins (moeda)",fl.
"floruit, floresceu",fl.
folha,fl.
fólio,fl.
"fluid ounce(s), onça(s) fluida(s)",fl. oz.
"fluid scruple(s), escrúpulo(s) fluido(s)",fl. sc.
flamengo,flam.
"flexão, flexões",flex.
flexional,flex.
flexivo,flex.
floricultura,flor.
floricultura,floric.
folhas,fls.
fluminense,flum.
fluminense,flumin.
fluvial,fluv.
férmio,Fm
forma adverbial,fm. adv.
forma(s),fm.
forma nominal,fm. nom.
forma paralela,fm. paral.
,fm. verbal forma verbal
fólio,fo.
fogueiro,fog.
folha,fol.
folclore brasileiro,folc. bras.
folclore,folc.
folclore,folcl.
folheto,folh.
folhas,fols.
fonética,fon.
fonologia,fon.
fonética,fonét.
fonologia,fonol.
forense,for.
formação,form.
fórmula,fórm.
formulário,form.
formação portuguesa,form. port.
formulário,formul.
fortificação,fort.
fólios,fos.
fóssil,fós.
fotografia,fot.
fotógrafo,fot.
fotografia,foto.
fotoanálise,fotoan.
fotoanálise,fotoanál.
fotografia,fotogr.
fotometria,fotom.
fovismo,fov.
frâncio,Fr
francês,fr.
franco(s) (moeda),fr.
frase,fr.
Frei,Fr.
fruto,fr.
frase proverbial,fr. prov.
franco-maçonaria,fr.-maç.
frâncico,frânc.
franco,franc.
freguesia(s) (divisão administrativa),freg.
frenologia,frenol.
frequentativo,freq.
frigorífico,frig.
fruticultura,frut.
fac-símile,fs.
folhas,fs.
fac-símiles,fss.
"foot (feet), pé(s)",ft.
"foot (feet per minute), pé(s) por minuto",ft.p. min.
fulvismo,fulv.
fundação,fund.
futuro do conjuntivo,fut. conj.
futebol,fut.
futuro,fut.
futuro do indicativo,fut. ind.
futuro do pretérito,fut. pret.
futuro do subjuntivo,fut. subj.
futebol,futb.
futebol,futeb.
futebolismo,futeb.
futurismo,futur.
futurologia,futur.
,g gauss
,G gauss
,g grado(s)
,g grama(s)
,g grama(s)-força
,g* grama(s)-força
,g*/cm³ grama(s)-força por centímetro cúbico
gênero(s),g.
grado(s) (da circunferência),g.
grau(s),g.
guerra química,g. quím.
de grande,g.
Grande Oficial,G.de Of.
Guarda-Marinha,G.M.
guarda-marinha,g.m.
guarda-marinha,g.-m.
"Greenwich Meridian Time, hora do meridiano de Greenwich",G.M.T.
"Gloria Patri, Glória ao Pai",G.P.
,g/cm³ grama(s) por centímetro cúbico
,g/m³ grama(s) por metro cúbico
,G/P ganhos e perdas
,Ga gálio
gaélico,gaél.
galego,gal.
galicismo,gal.
"gallon(s), galão(galões)",gal.
galicismo,galic.
galvanismo,galv.
garimpo,gar.
gascão,gasc.
gaulês,gaul.
gaveta,gav.
gadolínio,Gd
germânio,Ge
genealogia,gen.
General,Gal.
gênero(s),gên.
genitivo,gen.
genovês,gen.
genealogia,geneal.
genética,genét.
genético,genét.
genovês,genov.
geografia antiga,geo. ant.
geografia brasileira,geo. bras.
geografia econômica,geo. econ.
geografia física,geo. fís.
geografia,gea.
geografia humana,geo. hum.
geodésia,geod.
geofísica,geof.
geofísico,geof.
geofísica,geofís.
geografia,geog.
geografia política,geog. pol.
geognosia,geogn.
geografia,geogr.
geográfico(s),geogr.
geologia,geol.
geometria analítica,geom. anal.
geometria dedutiva,geom. ded.
geometria descritiva,geom. descr.
geometria diferencial,geom. dif.
geometria,geom.
geomorfologia,geomor.
geomorfologia,geomorf.
geonímia,geon.
geônimo,geôn.
geral,ger.
gerúndio,ger.
germânico,germ.
germanismo,germ.
grama(s)-força,gf
ginástica,gin.
ginástica,ginást.
ginecologia,ginec.
ginecologia,ginecol.
gíria de ciganos,gír. cig.
gíria escolar,gír. esc.
gíria futebolística,gír. fut.
gíria de gatunos,gír. gat.
gíria,gír.
gíria policial,gír. pol.
gíria de ladrões,gíria lad.
gliptografia,gliptog.
gliptografia,gliptogr.
gliptologia,gliptol.
gliptoteca,gliptot.
glossário,gloss.
glótica,glót.
glótico,glót.
glotologia,glotol.
guinéu (moeda),gn.
gnomônica,gnom.
gótico,gót.
governador,gov.
governador,Gov.
governadoria,gov.
governo,gov.
governo,Gov.
grado(s),gr
grego bizantino,gr. biz.
grade(s) (medida),gr.
"grain(s), grão(s)",gr.
grão(s) (peso),gr.
grátis,gr.
grau(s),gr.
grego,gr.
grosa(s),gr.
grego moderno,gr. mod.
gráfico,gráf.
grafologia,graf.
grafologia,grafol.
grafoscopia,grafosc.
gramática,gram.
gravura,grav.
grande,grd.
groenlandês,groen.
groenlandês,groenl.
"gutta, gota",gt.
guarani,guar.
"guatemalteco, guatemalense",guat.
"guatemalteco, guatemalense",guatem.
"guinéu, guineense",guin.
"gutta, gota",gutt.
guzarate,guz.
,H haver
,H henry (henries)
,"h henry, unidade de indutância"
,H hidrogênio
,h hora(s)
haver (comercialmente),H.
homem,h.
"honoris causa, por honra, honorariamente",h.c.
história contemporânea,h.cont.
"hic iacet sepultus (sepulta), aqui jaz sepulto(a), sepultado(a)",H.I.S.
"hic jacet sepultus (sepulta), aqui jaz sepulto(a), sepultado(a)",H.J.S.
história moderna,h.mod.
história natural,h.n.
"horsepower, cavalo-vapor",H.P.
"horse-power-hour(s), cavalo-vapor por hora(s)",H.P.-h.
história sagrada,h.sag.
,ha hectare(s)
habitante(s),hab.
hagiografia,hag.
hagiônimo,hag.
hagiografia,hagiog.
hagiografia,hagiogr.
hagiológico,hagiol.
haplologia,haplol.
hastim(ins),hast.
,"HD hard disc, disco rígido"
,"HDD hard discs, discos rígidos"
,"HDL high density lipoprotein, lipoproteína de alta densidade"
,He hélio
hebdomadário,hebd.
hebraico,hebr.
hebreu,hebr.
helmintologia,helm.
helmintologia,helmin.
helmintologia,helmintol.
hematologia,hem.
heortônimo,heort.
heortônimo feminino,heort.f.
heortônimo feminino plural,heort.f.pl.
heortônimo masculino,heort.m.
heortônimo masculino plural,heort.m.pl.
heortônimo feminino,heortôn. fem.
heortônimo masculino,heortôn. masc.
heráldica,her.
heráldica,herál.
heráldico,herál.
heráldica,heráld.
herbário,herb.
herdeiro,herd.o
herpético,herp.
herpetologia,herp.
herpético,herpét.
herpetografia,herpet.
herpetografia,herpetogr.
herpetologia,herpetol.
heteronímia,het.
heterônimo,het.
háfnio,Hf
hectograma(s),hg
"hidrargirium, mercúrio",Hg
hibridismo,hib.
híbrido,híb.
hibridismo,hibr.
híbrido,híbr.
hibridismo,hibrid.
hidrografia fluvial,hidr. fl.
hidráulica,hidr.
hidráulica,hidrául.
hidrodinâmica,hidrod.
hidrografia,hidrog.
hidrografia,hidrogr.
hidrologia,hidrol.
hidrometria,hidrom.
hidrostática,hidrost.
hidroterapia,hidrot.
hierônimo,hier.
hierosolimitano,hier.
hierônimo feminino,hier.f.
hierônimo feminino plural,hier.f.pl.
hierônimo masculino,hier.m.
hierônimo masculino plural,hier.m.pl.
hierônimo,hierôn.
hierosolimitano,hierosolim.
higiene,hig.
higrometria,higr.
hindu,hind.
hindustani,hind.
hípico,híp.
hipismo,hip.
hipótese,hip.
hipotético,hip.
hipiatria,hipiat.
hipnoterapia,hipnot.
hipnotismo,hipnot.
hipnoterapia,hipnoter.
hipocorístico,hipoc.
hipocorístico,hipocor.
hipologia,hipol.
hipótese,hipót.
hipotético,hipot.
hispânico,hisp.
hispano-americano,hisp.-am.
hispano-americano,hisp.-amer.
hispano-latino,hisp.-lat.
hispano-árabe,hisp-ár.
história antiga,hist. ant.
história bíblica,hist. bíb.
história bíblica,hist. bíbl.
história do Brasil,hist. Bras.
história colonial,hist. col.
história contemporânea,hist. contemp.
história eclesiástica,hist. ecl.
história eclesiástica,hist. ecles.
história da filosofia,hist. filos.
história grega,hist. gr.
história,hist.
história das instituições,hist. inst.
história marítima brasileira,hist. mar. bras.
história marítima,hist. mar.
história militar,hist. mil.
história moderna,hist. mod.
história natural,hist. nat.
história religiosa,hist. rel.
história romana,hist. rom.
história sagrada,hist. sagr.
histologia,histol.
historiografia,historiog.
historiografia,historiogr.
"human immunodeficiency vírus, vírus da imunodeficiência humana",HIV
hectolitro(s),hl
hectômetro(s),hm
hectômetro(s) quadrado(s),hm²
hólmio,Ho
holandês,hol.
homeopatia,hom.
homônimo,hom.
homeopatia,homeo.
homeopatia,homeop.
homofonia,homof.
homografia,homog.
homografia,homogr.
homonímia,homon.
homônimo,homôn.
honorário,hon.
"hondurenho, hondurense",hond.
horticultura,hort.
"hortus, horto, jardim",hort.
horticultura,hortic.
hotentote,hot.
hotentotismo,hot.
hotentote,hotent.
hectopiezo,hpz
humorístico,humor.
húngaro,húng.
hectowatt,hw
hectowatt internacional,hW
intransitivo,i
iodo,I
unidade imaginária (matemática),i
igreja,I.
intensidade de corrente,I.
"Iuris Doctor, doutor de direito, doutor em Direito",I.D.
"Iurum Doctor, doutor de direitos, doutor em direitos",I.D.
"id est, isto é",i.e.
"yachting, iatismo",iat.
ibero,ib.
"ibidem, no mesmo lugar",ib.
ibérico,ibér.
"ibidem, no mesmo lugar",ibid.
iconografia,iconog.
iconografia,iconogr.
iconologia,iconol.
ictiologia,ict.
ictiologia,ictiol.
"idem, o mesmo",id.
"idem quod, o mesmo que",id.q.
idiotismo,idiot.
idolatria,idol.
idololatria,idolol.
igreja,igr.
nome de Deus em Hebraico Jeová ou Javé,I.H.V.H ou J.H.V.H
ilustração,Il.
ilustríssima,Il.ma
ilustríssimo,Il.mo
luz e iluminação,ilum.
ilusionismo,ilus.
"ilustração, ilustrações",ilus.
ilusionismo,ilusion.
ilustrado,ilustr.
imigração,imigr.
imitação,imit.
imperfeito,imp.
imperial,imp.
império,imp.
"imprimatur, imprima-se",imp.
imperfeito do indicativo,imp. ind.
imperfeito do subjuntivo,imp. subj.
imperfeito do conjuntivo,imper. conj.
imperativo,imper.
imperativo,imperat.
imperfeito,imperf.
imperfeito do indicativo,imperf. ind.
imperfeito do subjuntivo,imperf. subj.
impessoal,impes.
impessoalmente,impes.
impessoal,impess.
importação,import.
imprensa,impr.
impropriamente,impr.
impressionismo,impres.
impressionismo,impression.
impropriamente,improp.
impropriamente,impror.
em doze (24 páginas em cada folha),In 12.o
em dezesseis (32 páginas em cada folha),In 16.o
em dezoito (36 páginas em cada folha),In 18.o
em vinte e quatro (48 páginas em cada folha),In 24.o
em trinta e dois (64 páginas em cada folha),In 32.o
em quatro (8 páginas em cada folha),In 4.o
em sessenta e quatro (128 páginas em cada folha),In 64.o
em oitavo (16 páginas em cada folha),In 8.o
in folio (4 páginas em cada folha),In fol.
índio,In
"in loco, no lugar, nesse mesmo lugar",In loc.
in plano (duas páginas em cada folha),In pl.
in folio (4 páginas em cada folha),In.
"inch(es), polegada(s)",in.
"ineunt, (no) início (antes de datas ou períodos explícitos — ver ex.)",in.
incoativo,inc.
inculto,inc.
"incorporação, incorporado",inc.
incoativo,incoat.
"incógnito, de forma não-conhecida",incóg.
indústria açucareira,ind. aç.
indústria agrícola,ind. ag.
indústria extrativa,ind. ext.
indústria do gás,ind. gás
indefinido,ind.
indeterminado,ind.
indiano,ind.
indicativo,ind.
índice,índ.
indígena,ind.
índio,índ.
indireto,ind.
indo,ind.
indonésio,ind.
"indostano, industano",ind.
indústria,ind.
indústria madeireira,ind. mad.
indefinido,indef.
indeterminado,indet.
indianismo,indian.
indiano,indian.
indivíduo(s),indiv.
indochinês,indoch.
indonésio,indon.
indostano,indost.
indumentária,indum.
industano,indust.
indústria,indúst.
infantaria,inf.
infante,inf.
infantil,inf.
inferior,inf.
infinitivo,inf.
infinito,inf.
infixo,inf.
"infra, abaixo",inf.
"infundatur, infunda-se",inf.
infinitivo pessoal,inf. pess.
infantil,infan.
infantil,infant.
infantilismo,infant.
inferioridade,infer.
infinitivo,infin.
infinito,infin.
infinitivo,infinit.
infinitivo pessoal,infinitiv. pes.
influência,infl.
informação,inform.
inglês,ing.
inglês-norte-americano,ing.-n.-am.
inglês,ingl.
insular,ins.
"inscrição, inscrições",inscr.
inseparável,insep.
instrumento(s) agrícola(s),inst. ag.
instituição,inst.
instituto,inst.
instituições políticas,inst. pol.
instrução pública,inst. púb.
instituição,instit.
intransitivo,int.
integralismo,integr.
intensivo,intens.
interamnense,interamn.
interjeição exclamativa,interj. excl.
interjeição,interj.
interjetivo,interj.
interjeição vocativa,interj. voc.
interjetivamente,interjet.
internacional,intern.
internacional,internac.
interrogativo,interr.
interrogação,interrog.
interrogativo,interrog.
interrogativo,interrogat.
interjeição,intj.
intransitivamente,intr.
intransitivo,intr.
intransitivo,intrans.
inusitado,inus.
invariável,inv.
invenção,inv.
invariável,invar.
invariavelmente,invariav.
invenção,invenç.
investigação,invest.
investigação,investig.
iônio,Io
ioga,iog.
ioguismo,iog.
irídio,Ir
"irmão (um religioso, não-sacerdote)",Ir.
ironia,ir.
iraniano,iran.
iraquiano,iraq.
irlandês,irl.
ironia,iron.
ironicamente,iron.
irônico,irôn.
irregular,irr.
irregularmente,irr.
irregular(es),irreg.
islandês,isl.
islamita,islam.
islandês,island.
israelita,isr.
israelita,israel.
italianismo,it.
italiano,it.
itálico,it.
ítalo,ít.
italianismo,ital.
italiano,ital.
itálico,itál.
italianismo,italian.
italiano,italian.
iugoslavo,iug.
,j jornal
,J joule(s) internacional
,"j joule(s), unidade de energia no trabalho"
"Juris Doctor, doutor de direito, doutor em direito",J.D.
"Jurum Doctor, doutor de direitos, doutor em direitos",J.D.
,"J.r junior, júnior"
,J.z juiz
,J/s joule(s) por segundo
jamaicano,jam.
janeiro,jan.
,jan.o janeiro
japonês,jap.
jardinagem,jard.
jardinagem,jardin.
javanês,jav.
minas e jazidas,jaz.
jesuitismo,jes.
"joalheria, joalharia",joalh.
jocosamente,joc.
jocoso,joc.
jogo,jog.
jornal,jorn.
jornalismo,jorn.
jornalíssima,jornª.
"iunior, júnior",Jr.
judaico,jud.
judaísmo,jud.
judeu,jud.
julho,jul.
junho,jun.
jurídico,jur.
jurisprudência,jur.
jurisprudência,juris.
jurisprudência,jurisp.
jurisprudência,jurispr.
justiça militar,just. mil.
"kalium, potássio",K
"knock-out, fora de combate",K.O.
"quiloampere(s), quiloampère(s)",kA
quilociclo(s),kc
quilocoulomb(s),kC
quilocaloria(s),kcal
quilograma(s),kg
quilograma(s)-força,kgf
quilograma(s)-força por centímetro quadrado,kgf/cm²
quilograma(s)-força por centímetro cúbico,kgf/cm³
quilograma(s)- força por decímetro cúbico,kgf/dm³
quilograma(s)-força por metro quadrado,kgf/m²
quilograma(s)-força por metro cúbico,kgf/m³
quilogrâmetro(s),kg*m
quilogrâmetro(s) por segundo,kg*m/s
quilograma(s) por centímetro quadrado,kg/cm²
quilograma(s) por decímetro cúbico,kg/dm³
quilograma(s) por metro quadrado,kg/m²
quilograma(s) por metro cúbico,kg/m³
quilograma(s)-força,kgf
quilograma(s)-força por centímetro quadrado,kgf/cm²
quilograma(s)-força por metro cúbico,kgf/m³
quilogrâmetro(s),kgfm
quilogrâmetro(s) por segundo,kgfm/s
quilogrâmetro(s),kgm
quilogrâmetro(s) por segundo,kgm/s
quilojoule(s),kj
quilojoule(s),kJ
quilojoule(s) internacional,kJ
quilolitro(s),kl
quilômetro(s),km
quilômetro(s) por hora,km/h
quilômetro(s) quadrado(s),km²
quilômetro(s) cúbico(s),km³
